Teks;Label
Tautan Pendaftaran Program Bantuan Stimulan Perumahan Swadaya (BSPS);PENIPUAN
Gibran Sebut Pemerintah Tak Sengaja Pakai Dana Haji;SALAH
Video â€œBukti Aksi â€˜Indonesia Gelapâ€™ Digerakkan oleh PDIPâ€;SALAH
Garam Himalaya Bisa Meredakan Asam Lambung;SALAH
Pemkot Solo Luncurkan Program â€œTambal Ban Online Gratisâ€;SALAH
Prabowo Setop Pengangkatan PPPK;SALAH
Tautan Lowongan Pekerjaan BUMN Perum DAMRI;PENIPUAN
Ada Bansos PKH Ramadan, Disalurkan Lewat Telegram;PENIPUAN
Tautan Lowongan Kerja Bayan Resources;PENIPUAN
Antisipasi Serangan, TNI Jemput Pekerja Migran Indonesia dari Malaysia;SALAH
Zat Klorin hingga BPA dalam Pembalut Picu Gangguan Hormon dan Risiko Kanker;BELUM TERBUKTI
Video â€œIKN Kebanjiran dan Hampir Tenggelamâ€;SALAH
Anggota DPR Terima Amplop Sogokan saat Raker Bersama Pertamina;SALAH
Tautan Daftar â€œBBM Gratis, THR dari Pertamina dan Pemerintahâ€;PENIPUAN
Video â€Penangkapan Ridwan Kamil oleh KPKâ€;SALAH
Video â€œPenyitaan Uang Korupsi PLN Rp1,2 Triliunâ€;SALAH
Penganiayaan WNA China di Lampung;SALAH
Tautan Lowongan Kerja Amman Mineral Internasional;PENIPUAN
Respons Imun Artinya Keracunan, Antibodi Itu Antitoksin;SALAH
Tautan Pendaftaran Voucher Token Listrik Gratis PLN;PENIPUAN
Potret â€œJokowi Ditahan di Dalam Selâ€;SATIRE
Tautan â€œRekrutmen Asesor Sekolah dan Madrasahâ€;PENIPUAN
Video â€œOmbak Tsunami 11 Januari 2025â€;SALAH
Pendaftaran â€œHadiah Festival Ramadan Nasabah Bank BRIâ€;PENIPUAN
Tautan Pendaftaran â€œMudik Gratis dari Bank Mandiriâ€;PENIPUAN
Aturan Tilang Terbaru: Kendaraan Langsung Disita;SALAH
Video Petir Menyambar Sungai;SALAH
Video â€œJembatan di Puncak Bogor Jebol Akibat Banjirâ€;SALAH
Tautan Lowongan Kerja Dinas Perhubungan;PENIPUAN
Video â€œAnies Diusir karena Pakai Masjid Jadi Tempat Berpolitikâ€;SALAH
Pekerja China di Morowali Habis Dibakar Massa pada 3 Maret 2025;SALAH
Video Pekerja Indonesia Perang Lawan TKA China;SALAH
Video Pria Dipenjara karena Menabrak Bebek;SALAH
Tautan Daftar â€œCPNS Pengelola Dapur Umum Makan Bergizi Gratisâ€;PENIPUAN
Penawaran Pinjaman Online BCA di TikTok;PENIPUAN
Prabowo Angkat Mahfud MD Jadi Pengawas Internal Istana;SALAH
Patrick Kluivert Umumkan Pengunduran Diri dari Timnas Indonesia;SALAH
Tautan Pendaftaran Lowongan Kerja PT Total Bangun Persada;PENIPUAN
Video â€œDetik-Detik Asteroid Menghantam Bulanâ€;SALAH
Tautan Pencairan â€œTHR dari Pemerintahâ€;PENIPUAN
Potret â€œRobot Petani China yang Bisa Ancam Tenaga Kerja Manusiaâ€;SALAH
Video â€œPrabowo Minta Peserta Mandiri Beralih ke BPJS Gratisâ€;PENIPUAN
Video â€œMahasiswi Peserta Demo #IndonesiaGelap Takut Beasiswanya Dicabutâ€;SALAH
Tautan Klaim Kompensasi untuk Korban Pertamax Oplosan;PENIPUAN
Lowongan Kerja PT Gudang Garam TBK;PENIPUAN
Pendaftaran CPNS 2025 Dibuka;PENIPUAN
Erick Thohir Jadi Tersangka Korupsi Pertamina, Resmi Dipecat Prabowo;SALAH
Tautan â€œPendaftaran Hadiah Apresiasi Pengguna BSI Mobileâ€;PENIPUAN
Video Nasabah BRI Cianjur Antri Pindah Tabungan Akibat Uang Raib pada 2025;SALAH
Video â€œBuka Siang Hari saat Ramadan, Warung Makan Dirusakâ€;SALAH
Video â€œDosen Unair Disidang Pidana Usai Suruh Mahasiswa Berdemoâ€;SALAH
Banjir Bandang Terjang Pelabuhan Ratu pada 9 Maret 2025;SALAH
Antam Sebarkan 109 Ton Emas Palsu;SALAH
Tautan Lowongan Kerja Indofood Group;PENIPUAN
Direktur BPJS Kesehatan Ajak Pindah Kepesertaan BPJS Mandiri ke BPJS Gratis;PENIPUAN
140 Mahasiswa Sewaan Aksi #IndonesiaGelap Ditangkap Polisi;SALAH
Tautan â€œPendaftaran Haji Gratis dari Kerajaan Arab Saudiâ€;PENIPUAN
Masjid Tempat Agenda Teroris;SALAH
Akun TikTok Lowongan Pekerjaan MR DIY;PENIPUAN
Video Banjir Setinggi 4 Meter Menenggelamkan Kawasan Elit di Bekasi;SALAH
Seekor Paus Menelan Kapal;SALAH
Video â€œPrabowo Minta Kepala Daerah dari PDIP Mundur Bila Tidak Ikut Retretâ€;SALAH
Mobil Diamuk Warga karena Pengendaranya Tidak Bayar Bensin;SALAH
Video â€œMahasiswa Dalang Pembakaran Foto Prabowo-Gibran Ditahan Polisiâ€;SALAH
Presiden BEM Unair Ditangkap;SALAH
Tautan Rekrutmen PT IWIP, Gaji Tembus Puluhan Juta;PENIPUAN
Kejagung Umumkan Koruptor Pertamina Bakal Dihukum Mati;SALAH
Mobil Maung Garuda Isi Bensin di SPBU Shell;SALAH
Megawati Ngotot Bubarkan KPK Imbas Skandal Korupsi Elite PDIP Terkuak;SALAH
Video â€œGuru Jelaskan Gravitasi Adalah Hoaksâ€;SALAH
Tesla Pamerkan Robot Optimus Pengganti Buruh Pabrik;SALAH
Tautan Perpanjangan Program Diskon Listrik 50%;PENIPUAN
Video â€œBrankas Penyimpanan Uang Korupsi Pertaminaâ€;SALAH
Tautan Lowongan Kerja di Kantor Prabowo;PENIPUAN
Penghina Presiden Prabowo Subianto Tertangkap;SALAH
Tautan Pendaftaran Program Mudik Gratis;PENIPUAN
Atta Halilintar Ditahan Bareskrim, Buntut Kasus Robot Trading;SALAH
Pendaftaran Bantuan Dana Hibah â€œAl Bayti Saudi Arabiaâ€”UEAâ€;PENIPUAN
Video â€œDirut Pertamina Patra Niaga Oplos Pertalite Jadi Pertamaxâ€;SALAH
Prabowo Kerahkan Militer Imbas WNI Ditembak Mati Polisi Malaysia;SALAH
Megawati Pecat Bupati Brebes dari Kader PDIP karena Ikut Retret;SALAH
Robot AI Menyerang Warga di China;SALAH
Januari 2025 Prabowo Resmikan UU Perampasan Aset;SALAH
Imigran Muslim dari Palestina Sebabkan Kebakaran di Los Angeles;SALAH
Kuda Bertanduk Ditemukan di Hutan Kalimantan Utara;SALAH
Tautan Lowongan Kerja Richeese Factory;PENIPUAN
Prabowo Resmikan Pinjaman Online Bank BCA;PENIPUAN
Presiden Prabowo Terapkan Aturan Anak di Bawah 16 Tahun Tidak Boleh Pegang Handphone;SALAH
Uang Rp25.000 Bergambar Gus Dur;SALAH
Video â€œDemo di Makassar, Tuntut Jokowi Diadiliâ€;SALAH
Potret Demonstrasi Ojek Online 28 Agustus 2025;SALAH
Video â€œPerwira TNI Tolak Kenaikan Pajak dan Penambahan Gaji DPR saat Rapat Bersama Kemenkeuâ€;SALAH
Tautan Pendaftaran Tenaga Pendamping Program Penyediaan Air Minum dan Sanitasi Berbasis Masyarakat;PENIPUAN
Tautan Gebyar Undian BRI Edisi HUT RI;PENIPUAN
Video Pejabat Korupsi China Dijemput Paksa Saat Rapat;SALAH
Video â€œWarga Surabaya ke Jakarta, Ikut Demo Bubarkan DPRâ€;SALAH
Tautan Bantuan Insentif untuk Guru Non-ASN;PENIPUAN
Seduhan Daun Kelor dan Air Kelapa Bisa Bersihkan Paru-Paru;SALAH
Video Jakarta Membara, Demo 25 Agustus 2025;SALAH
Rektor UGM, Ova Emilia Dipenjara Kasus Penggelapan 29 Miliar;SALAH
Video Dokter Tirta Ungkap Cara Mengatasi Wasir dengan Air Putih dan Garam;SALAH
Judul Artikel Gelora â€œYaqut Cholil Qiemas: Kuota Haji Diatur Jokowi, Saya Berapa Kali Transfer Ke Rekening Jokowi Ada Sepuluh kali Dalam Setahunâ€;SALAH
Video â€œRapat Presiden dan Menteri Setujui Pemberhentian Bupati Sadewoâ€;SALAH
Gubernur Jateng Minta Warga Pati Ampuni Bupati Sudewo;SALAH
Tautan Pendaftaran Lowongan Kerja Ramayana;PENIPUAN
Video â€œDemo saat Upacara HUT ke-80 RI di Patiâ€;SALAH
Tautan Pendaftaran Lowongan Kerja Pegadaian 2025;PENIPUAN
Tautan Pendaftaran â€œBantuan Ayam Petelur Gratisâ€;PENIPUAN
Video Mahasiswa Berhasil Masuk Ke Gedung DPR RI 25 Agustus 2025;SALAH
Situasi di Jakarta Siaga 1, Demo di Bundaran HI 25 Agustus 2025;SALAH
Video â€œBupati Pati Sudewo Promosikan Laman Judi Onlineâ€;PENIPUAN
Ratusan Begal Motor Disebar di Jagorawi;SALAH
Serangan Udara Kerajaan Thailand ke Dua Posisi Militer Kamboja;SALAH
Ada Bantuan untuk TKI dari BP2MI Melalui WhatsApp;PENIPUAN
Pendaftaran Badan Gizi Nasional Periode 20 Agustus â€“ 10 September 2025;PENIPUAN
Sri Mulyani Umumkan Program Pemutihan Pinjol dari OJK;PENIPUAN
Tautan Lowongan Kerja Trans Studio Indonesia;PENIPUAN
Bank Indonesia Rilis Uang Pecahan Rp22.500, Rp40.000, dan Rp175.000;SALAH
Aplikasi Game Roblox Bakal Ditutup 1 September 2025;PARODI
NASA Konfirmasi Ledakan Besar Gunung Aktif di Bumi Tahun 2025;SALAH
Tangkapan Layar Artikel detiknews: Legislator PDIP Ingatkan Menteri Keuangan, Bu Menteri Kita Pilih, Jangan Naikkan Pajak Rakyat;SATIR
Tujuh Anggota Paskibra Meninggal karena Kelelahan pada 2025;SALAH
Pasha Ungu Mengundurkan Diri dari DPR;SALAH
Uang Baru Pecahan Rp250.000;SALAH
Video Wanita Aceh Berbicara di Depan Parlemen Eropa Inginkan Aceh Merdeka;SALAH
KPK Panggil Megawati Terkait Puluhan Kasus Korupsi;SALAH
Penghasilan Pekerja Seks Komersial Bakal Kena Pajak;SALAH
Ustaz Yusuf Mansyur Meninggal Dunia pada 24 Agustus 2025;SALAH
Pemerintah Bagikan Uang Sitaan Korupsi Impor Gula Rp565 Miliar kepada TKI;PENIPUAN
Tautan Rekrutmen Calon ASN SPPI 2025;PENIPUAN
ASI Bisa Gantikan Fungsi Imunisasi Campak dan Polio;SALAH
Emas Muncul dari Sungai Eufrat yang Mengering;BELUM TERBUKTI
Ada Kenaikan Biaya Admin Bank Usai Polemik Blokir Rekening;SALAH
Vaksin HPV Sebabkan Rahim Kering dan Kemandulan;SALAH
3 Orang Tewas saat Demo di Pati;SALAH
Sri Mulyani Umumkan Program Pemutihan Pinjol dari OJK;PENIPUAN
Chandra Hamzah: Penjual Pecel Lele di Trotoar Bisa Kena UU Tipikor karena Memperkaya Diri dan Merugikan Negara;SALAH
Gibran Bagi-Bagi Uang Rayakan HUT ke-80 RI;PENIPUAN
Indonesia Nyatakan Siap Perang Lawan Malaysia soal Ambalat;SALAH
25 Agustus 2025 Bakal Ada Demo Pembubaran DPR;SALAH
Video â€œPrabowo Bela Bupati Sudewoâ€;SALAH
Prabowo Bakal Ambil Alih Seluruh Pabrik Asing di Indonesia;SALAH
PGI Berikan Bantuan Pembangunan Gereja Lewat WhatsApp;PENIPUAN
Aceh Kini Kibarkan Bendera Sendiri;SALAH
Ada Biaya untuk Pembukaan Rekening yang Diblokir PPATK;SALAH
Thailand Jatuhkan Asap Beracun di Kamboja;SALAH
Prabowo Lepas Pulau Layang-Layang untuk Malaysia;SALAH
Polisi Imbau Warga Bermain Judol dengan Sportif dan Tidak Merugikan Bandar;SATIR
Pelatih Paus Jessica Radcliffe Meninggal Akibat Dimangsa Ikan Paus;SALAH
Pemerintah Resmi Mengembalikan Hasil Sitaan Judi Ilegal ke Rakyat;SALAH
Tangkapan Layar Artikel CNBC Indonesia tentang Penyerahan Uang Pengadaan Laptop oleh Nadiem Makarim ke Jokowi;SALAH
HIV Tidak Berbahaya, ARV Hanya Propaganda;SALAH
China Blacklist 20 Perusahaan asal India, Karena Bekerjasama dengan Amerika;SALAH
Gaji Tahunan Penjaga Mercusuar La Jument Prancis Tembus Miliaran Rupiah;SALAH
Judul Artikel Gelora â€œKaesang: Rakyat Banyak Sekali Yang Memaksa Saya Untuk Jadi Presidenâ€;SALAH
PBB Memutuskan Referendum 5 Negara Baru, 3 dari Indonesia;SALAH
Video Sri Mulyani Sebut â€œGuru Itu Beban Negaraâ€;SALAH
Program Baru BPN: Sertipikat Tanah dan Balik Nama Gratis;PENIPUAN
Video â€œPernyataan Pengunduran Diri Bupati Sudewoâ€;SALAH
Prabowo Bagi-Bagi Uang Rayakan HUT ke-80 RI;PENIPUAN
Video â€œ10 Ribu Warga Jakarta Bantu Warga Pati Demo Turunkan Bupatiâ€;SALAH
Akar Alang-Alang Bisa Gantikan Prosedur Cuci Darah;SALAH
Tautan Pendaftaran Bantuan Kuota untuk Sambut 17 Agustus;PENIPUAN
Video Demo Bupati Sudewo pada 13 Agustus 2025;SALAH
Tautan Pendaftaran Upacara HUT Ke-80 RI di Istana Negara;PENIPUAN
Menempelkan Dua Peniti Bisa Perkuat Sinyal Ponsel;SALAH
Tautan Pendaftaran Lowongan Kerja PT Vale Indonesia;PENIPUAN
Tautan Rekrutmen Sarjana Penggerak Pembangunan Indonesia (SPPI) Batch 4;PENIPUAN
Tautan Pendaftaran Petugas Haji 2026;PENIPUAN
Warga Papua Minta Jokowi Kembali Pimpin Negara;SALAH
Tautan Klaim Token Listrik Gratis Jelang Hari Kemerdekaan;PENIPUAN
Video â€œJuli 2025 Ada Tsunami di Lampungâ€;SALAH
Tautan Pendaftaran CPNS Kemenag 2025;PENIPUAN
Prabowo Usulkan Referendum di Aceh dan Papua Barat;SALAH
Video â€œTsunami di Hokkaido Jepang 30 Juli 2025â€;SALAH
Perangkat Elektronik Harus Dimatikan karena Ada Radiasi Kosmik;SALAH
Foto Tagihan Royalti Musik dan Lagu di Restoran;SALAH
Pemberangkatan Pengungsi Palestina ke Indonesia;SALAH
Perpanjang dan Pembuatan SIM Gratis pada 17 Agustus 2025;PENIPUAN
Tautan Pendaftaran Loker SKK Migas Petrochina International;PENIPUAN
Indonesia Kirim Pasukan Khusus ke Kamboja;SALAH
Pengaturan Nozzle Memengaruhi Akurasi Takaran BBM;SALAH
Tautan Pendaftaran Rekening Aktif untuk Cegah Pemblokiran;PENIPUAN
Tautan Pendaftaran Bantuan Dana Koperasi Desa Merah Putih;PENIPUAN
Ada Bantuan Dana dari Saudi Arabia untuk Umat Islam;PENIPUAN
Rekaman Rudal Tomahawk AS Menghantam Situs Nuklir Iran;SALAH
Tarik Uang di ATM Yang Sama Agar Tidak Terblokir PPATK;SALAH
Pengibaran Bendera One Piece Dihukum 5 Tahun Penjara;SALAH
Video Rekaman Tsunami Rusia;SALAH
Prabowo Mau Lunasi Utang Rakyat Pakai Dana Pribadi;SALAH
Menghadap Lilin Menyembuhkan Mata Minus;SALAH
Komdigi Kaji Pengguna Harus Beli Internet Premium untuk WhatsApp Call;SALAH
Video 50 Ribu Pendemo Siap Meluncur ke Pati;SALAH
Tautan Lowongan Kerja AQUA;PENIPUAN
FIFA Ungkap Kecurangan Timnas Vietnam di Final Lawan Indonesia;SALAH
Tautan Pendaftaran Lowongan Kerja KFC;PENIPUAN
ASEAN Prediksi Indonesia Bangkrut Tahun 2030 karena Utang;SALAH
Kementerian Dalam Negeri Israel Terkena Rudal Iran;SALAH
Tautan Pendaftaran BLT Untuk Pendidikan Anak Sekolah;PENIPUAN
Gibran Sebut Pernyataan â€œJanji 19 Juta Lapangan Kerjaâ€ Itu Dipelintir Media Massa;SALAH
Tautan Bantuan Bibit Ayam Dari Pemerintah;SALAH
Beredar Uang Mutilasi Sebesar 600 Miliar;BELUM TERBUKTI
Tautan Pendaftaran Lowongan Kerja Badan Pusat Statistik;PENIPUAN
Video Warga Tarik Uang Akibat Diblokir PPATK;SALAH
Kapal Terhempas Ombak Saat Gempa di Rusia;SALAH
Mobil berisi 30 ton Ginjal Manusia;SALAH
Tautan Pendaftaran CPNS Dinas Perhubungan Periode 7 Juli-27 Agustus 2025;PENIPUAN
Tautan Pendaftaran Token Listrik Gratis Periode 7 Juli-27 Agustus 2025;PENIPUAN
Australia Keluar dari WHO;SALAH
Video â€œIndonesia dan AS Rasakan Getaran Gempa dan Tsunami Rusiaâ€;SALAH
Video â€œPaus Beluga Terdampar Usai Tsunami Rusiaâ€;SALAH
Video â€œTsunami Rusia 30 Juli 2025, Ombak Besar Hantam Gedungâ€;SALAH
Dokumentasi â€œTsunami Hantam Jepang Usai Gempa di Rusiaâ€;SALAH
Aksi Protes Warga AS Menolak Serangan ke Iran;SALAH
Tom Lembong dan Hasto Bebas karena Perintah Jokowi;SALAH
Dokumentasi â€œPesawat Israel Tiba di Jakartaâ€;SALAH
Iran Bikin Sayembara Berhadiah untuk Bunuh Trump dan Netanyahu;SALAH
Video â€œQatar Meledak Akibat Drone Iranâ€;SALAH
Korea Utara Hukum Mati Pendukung Zionis, Nyatakan Israel Negara Ilegal;SALAH
Video â€œRudal Iran Meluncur dari Bawah Tanah untuk Serang Israelâ€;SALAH
FIFA Sanksi Vietnam Usai Laga Final Piala AFF U-23 2025;SALAH
Kejaksaan dan Polisi Bakal Panggil Peserta Reuni UGM Angkatan Jokowi;SALAH
BIN Umumkan Kondisi Darurat Militer Indonesia;SALAH
Bos Perusahaan Otobus (PO) Haryanto Bagi-Bagi Uang;PENIPUAN
Ahok Seret Nama Jokowi dalam Kasus Korupsi Pertamina;SALAH
Foto Pesawat MiG-21 Kamboja Jatuh setelah Lawan Pesawat Thailand;SALAH
Indonesia Tunjukkan Senjata Nuklirnya;SALAH
Perpanjang SIM Harus Melalui Tes Ulang;SALAH
Prabowo Segera Usir Habib Baâ€™alawi;SALAH
Ada Razia Berujung Kuras Bensin Usai Kasus Pertamax Oplosan;SALAH
Video Gempa M 6,2 Guncang Istanbul 04/23/2025;SALAH
Pandemic Treaty: Ada Denda untuk Masyarakat Penolak Vaksin;SALAH
Gambar â€œDesain Pondasi Kota Venesia Italiaâ€;SALAH
Naik KRL Tidak Bisa Pakai e-Money Bank Mandiri;SALAH
Gaji PNS dan Pensiunan Resmi Naik 16 Persen Tahun 2025;SALAH
